question_id,title_ind,title_en,question_ind,question_en,question_code,reference_solution,expected_output,week,source_no,order_no,active,data_status,question_type,source_system,source_key,source_code,level,short_description_ind,short_description_en,content_blocks_ind,content_blocks_en,sample_inputs,sample_outputs,probe_no,target_misconception_id,input_description_ind,input_description_en,output_description_ind,output_description_en,io_content_type,test_cases_json,options_json,correct_option_label,evidence_available,lms_question_id,display_question_code
Q001,Persegi Panjang,Persegi Panjang,"Tulislah sebuah algoritma untuk menghitung luas persegi panjang.
  Masukan berupa dua bilangan riil, yang menyatakan lebar dan panjang dari persegi panjang.
  Luas persegi panjang adalah hasil perkalian antara lebar dengan panjangnya.
  Keluaran berupa luas persegi panjang, dalam bilangan riil.","Write an algorithm to compute the area of a rectangle.
  Input two real numbers, representing the width and length of the rectangle.
  The area of a rectangle is the result of multiplying its width by its length.
  Output the area of a rectangle, in real number.
  
  Examples:
  Input: 35.11 24.23
  Result: 850.7153000
  Input: 21.88 10.11
  Result: 221.2068000",001,,,W02,75,1,TRUE,needs_review,PS,LMS,LMS-PS-10413314,001.UAI luas persegi panjang (en),Easy,Tulislah sebuah algoritma untuk menghitung luas persegi panjang.,Write an algorithm to compute the area of a rectangle.,"[{""type"": ""text"", ""content"": ""Tulislah sebuah algoritma untuk menghitung luas persegi panjang.\nMasukan berupa dua bilangan riil, yang menyatakan lebar dan panjang dari persegi panjang.\nLuas persegi panjang adalah hasil perkalian antara lebar dengan panjangnya.\nKeluaran berupa luas persegi panjang, dalam bilangan riil.""}]","[{""type"": ""text"", ""content"": ""Write an algorithm to compute the area of a rectangle.\nInput two real numbers, representing the width and length of the rectangle.\nThe area of a rectangle is the result of multiplying its width by its length.\nOutput the area of a rectangle, in real number.\n\nExamples:\nInput: 35.11 24.23\nResult: 850.7153000\nInput: 21.88 10.11\nResult: 221.2068000""}]","[""35.11 24.23"", ""21.88 10.11""]","[""850.7153000"", ""221.2068000""]",,,"berupa dua bilangan riil, yang menyatakan lebar dan panjang dari persegi panjang.","two real numbers, representing the width and length of the rectangle.","berupa luas persegi panjang, dalam bilangan riil.","the area of a rectangle, in real number.",text+table,"[{""case_no"": 1, ""input"": ""35.11 24.23"", ""output"": ""850.7153000""}, {""case_no"": 2, ""input"": ""21.88 10.11"", ""output"": ""221.2068000""}]",,,TRUE,10413314,10413314
Q002,Konversi Suhu Celsius ke Fahrenheit,Konversi Suhu Celsius ke Fahrenheit,"Tulislah sebuah algoritma untuk mengonversi suhu dari Celcius ke Fahrenheit.
  Masukan berupa bilangan riil yang menyatakan suhu dalam Celcius.
  Suhu dalam Fahrenheit adalah hasil perkalian antara 9 dibagi 5 dengan suhu Celcius, ditambah 32.
  Keluaran berupa suhu yang sama dalam Fahrenheit.","Write an algorithm to convert the temperature from Celcius to Fahrenheit.
  Input a real number representing the temperature in Celsius.
  The temperature in Fahrenheit is the result of multiplying 9 divided by 5 by the Celsius temperature, then adding 32.
  Output the same temperature in Fahrenheit.
  
  Examples:
  Input: 100
  Result: 212.0000000
  Input: 0
  Result: 32.0000000",008,,,W02,76,2,TRUE,needs_review,PS,LMS,LMS-PS-10413319,008.UAI konversi suhu c ke f (en),Easy,Tulislah sebuah algoritma untuk mengonversi suhu dari Celcius ke Fahrenheit.,Write an algorithm to convert the temperature from Celcius to Fahrenheit.,"[{""type"": ""text"", ""content"": ""Tulislah sebuah algoritma untuk mengonversi suhu dari Celcius ke Fahrenheit.\nMasukan berupa bilangan riil yang menyatakan suhu dalam Celcius.\nSuhu dalam Fahrenheit adalah hasil perkalian antara 9 dibagi 5 dengan suhu Celcius, ditambah 32.\nKeluaran berupa suhu yang sama dalam Fahrenheit.""}]","[{""type"": ""text"", ""content"": ""Write an algorithm to convert the temperature from Celcius to Fahrenheit.\nInput a real number representing the temperature in Celsius.\nThe temperature in Fahrenheit is the result of multiplying 9 divided by 5 by the Celsius temperature, then adding 32.\nOutput the same temperature in Fahrenheit.\n\nExamples:\nInput: 100\nResult: 212.0000000\nInput: 0\nResult: 32.0000000""}]","[""100"", ""0""]","[""212.0000000"", ""32.0000000""]",,,berupa bilangan riil yang menyatakan suhu dalam Celcius.,a real number representing the temperature in Celsius.,berupa suhu yang sama dalam Fahrenheit.,the same temperature in Fahrenheit.,text+table,"[{""case_no"": 1, ""input"": ""100"", ""output"": ""212.0000000""}, {""case_no"": 2, ""input"": ""0"", ""output"": ""32.0000000""}]",,,FALSE,10413319,10413319
Q003,Konversi Suhu Celsius ke Kelvin,Konversi Suhu Celsius ke Kelvin,"Tulislah sebuah algoritma untuk mengonversi suhu dari Celsius ke Kelvin.
  Masukan berupa bilangan riil yang menyatakan suhu dalam Celsius.
  Suhu dalam Kelvin adalah hasil penjumlahan antara suhu Celsius dengan 273.
  Keluaran berupa suhu yang sama dalam Kelvin.","Write an algorithm to convert temperature from Celsius to Kelvin.
  Input a real number representing temperature in Celsius.
  The temperature in Kelvin is the result of adding the Celsius temperature to 273.
  Output the same temperature in Kelvin.
  
  Examples:
  Input: 100
  Result: 373.0000000
  Input: 0
  Result: 273.0000000",009,,,W02,77,3,TRUE,needs_review,PS,LMS,LMS-PS-10413320,009.UAI konversi suhu c ke k (en),Easy,Tulislah sebuah algoritma untuk mengonversi suhu dari Celsius ke Kelvin.,Write an algorithm to convert temperature from Celsius to Kelvin.,"[{""type"": ""text"", ""content"": ""Tulislah sebuah algoritma untuk mengonversi suhu dari Celsius ke Kelvin.\nMasukan berupa bilangan riil yang menyatakan suhu dalam Celsius.\nSuhu dalam Kelvin adalah hasil penjumlahan antara suhu Celsius dengan 273.\nKeluaran berupa suhu yang sama dalam Kelvin.""}]","[{""type"": ""text"", ""content"": ""Write an algorithm to convert temperature from Celsius to Kelvin.\nInput a real number representing temperature in Celsius.\nThe temperature in Kelvin is the result of adding the Celsius temperature to 273.\nOutput the same temperature in Kelvin.\n\nExamples:\nInput: 100\nResult: 373.0000000\nInput: 0\nResult: 273.0000000""}]","[""100"", ""0""]","[""373.0000000"", ""273.0000000""]",,,berupa bilangan riil yang menyatakan suhu dalam Celsius.,a real number representing temperature in Celsius.,berupa suhu yang sama dalam Kelvin.,the same temperature in Kelvin.,text+table,"[{""case_no"": 1, ""input"": ""100"", ""output"": ""373.0000000""}, {""case_no"": 2, ""input"": ""0"", ""output"": ""273.0000000""}]",,,FALSE,10413320,10413320
Q004,Konversi Gram ke Karat,Konversi Gram ke Karat,"Tulislah sebuah algoritma untuk mengonversi berat dari gram ke karat berlian.
  Masukan berupa berat dalam gram (bilangan riil).
  Keluaran berupa berat yang sama dalam karat (bilangan riil).
  Petunjuk: 1 gram sama dengan 5 karat.","Write an algorithm to convert weight from gram to diamond carat.
  Input the weight in gram (real number).
  Output the same weight in carat (real number).
  Hint: 1 gram is 5 carat.
  
  Examples:
  Input: 50.0
  Result: 250.0000000
  Input: 100.00
  Result: 500.0000000",014,,,W02,78,4,TRUE,needs_review,PS,LMS,LMS-PS-10413323,014.UAI konversi gram ke karat (en),Easy,Tulislah sebuah algoritma untuk mengonversi berat dari gram ke karat berlian.,Write an algorithm to convert weight from gram to diamond carat.,"[{""type"": ""text"", ""content"": ""Tulislah sebuah algoritma untuk mengonversi berat dari gram ke karat berlian.\nMasukan berupa berat dalam gram (bilangan riil).\nKeluaran berupa berat yang sama dalam karat (bilangan riil).\nPetunjuk: 1 gram sama dengan 5 karat.""}]","[{""type"": ""text"", ""content"": ""Write an algorithm to convert weight from gram to diamond carat.\nInput the weight in gram (real number).\nOutput the same weight in carat (real number).\nHint: 1 gram is 5 carat.\n\nExamples:\nInput: 50.0\nResult: 250.0000000\nInput: 100.00\nResult: 500.0000000""}]","[""50.0"", ""100.00""]","[""250.0000000"", ""500.0000000""]",,,berupa berat dalam gram (bilangan riil).,the weight in gram (real number).,berupa berat yang sama dalam karat (bilangan riil).,the same weight in carat (real number).,text+table,"[{""case_no"": 1, ""input"": ""50.0"", ""output"": ""250.0000000""}, {""case_no"": 2, ""input"": ""100.00"", ""output"": ""500.0000000""}]",,,FALSE,10413323,10413323
Q005,Penjumlahan Empat Bilangan Bulat,Penjumlahan Empat Bilangan Bulat,"Tulislah sebuah algoritma untuk menjumlahkan empat bilangan bulat.
  Masukan berupa empat bilangan bulat.
  Keluaran berupa satu bilangan bulat, jumlah dari keempat bilangan tersebut.","Write an algorithm to simply add four integers.
  Input four integers.
  Output an integer, the sum of the numbers.
  
  Examples:
  Input: 23 41 55 76
  Result: 195
  Input: 1 2 3 4
  Result: 10",020,,,W02,79,5,TRUE,needs_review,PS,LMS,LMS-PS-11071368,020.ARM penjumlahan (en),Easy,Tulislah sebuah algoritma untuk menjumlahkan empat bilangan bulat.,Write an algorithm to simply add four integers.,"[{""type"": ""text"", ""content"": ""Tulislah sebuah algoritma untuk menjumlahkan empat bilangan bulat.\nMasukan berupa empat bilangan bulat.\nKeluaran berupa satu bilangan bulat, jumlah dari keempat bilangan tersebut.""}]","[{""type"": ""text"", ""content"": ""Write an algorithm to simply add four integers.\nInput four integers.\nOutput an integer, the sum of the numbers.\n\nExamples:\nInput: 23 41 55 76\nResult: 195\nInput: 1 2 3 4\nResult: 10""}]","[""23 41 55 76"", ""1 2 3 4""]","[""195"", ""10""]",,,berupa empat bilangan bulat.,four integers.,"berupa satu bilangan bulat, jumlah dari keempat bilangan tersebut.","an integer, the sum of the numbers.",text+table,"[{""case_no"": 1, ""input"": ""23 41 55 76"", ""output"": ""195""}, {""case_no"": 2, ""input"": ""1 2 3 4"", ""output"": ""10""}]",,,TRUE,11071368,11071368
Q006,Pembagian Burger per Anggota Keluarga (div),Pembagian Burger per Anggota Keluarga (div),"Keluarga Jiang memiliki tradisi membagi rata burger di antara mereka. Tulislah sebuahalgoritma untuk menentukan berapa burger yang diterima tiap anggota keluarga.
  Masukan berupa dua bilangan bulat positif, y dan x, yaitu jumlah burger dan jumlah anggota keluarga.
  Keluaran berupa jumlah burger yang diterima tiap anggota keluarga.","The Jiang family has a tradition to share their burgers equally among themselves.
  Write an algorithm to determine how many burgers received by each member of the family.
  Input two positive integers, y and x, i.e. the number of burgers and family members.
  Output the number of burgers received by each family member.
  
  Examples:
  Input: 5 3
  Result: 1
  Input: 6 3
  Result: 2",034,,,W02,80,6,TRUE,needs_review,PS,LMS,LMS-PS-10422158,034.UAI div kue (en),Easy,Keluarga Jiang memiliki tradisi membagi rata burger di antara mereka.,The Jiang family has a tradition to share their burgers equally among themselves.,"[{""type"": ""text"", ""content"": ""Keluarga Jiang memiliki tradisi membagi rata burger di antara mereka. Tulislah sebuahalgoritma untuk menentukan berapa burger yang diterima tiap anggota keluarga.\nMasukan berupa dua bilangan bulat positif, y dan x, yaitu jumlah burger dan jumlah anggota keluarga.\nKeluaran berupa jumlah burger yang diterima tiap anggota keluarga.""}]","[{""type"": ""text"", ""content"": ""The Jiang family has a tradition to share their burgers equally among themselves.\nWrite an algorithm to determine how many burgers received by each member of the family.\nInput two positive integers, y and x, i.e. the number of burgers and family members.\nOutput the number of burgers received by each family member.\n\nExamples:\nInput: 5 3\nResult: 1\nInput: 6 3\nResult: 2""}]","[""5 3"", ""6 3""]","[""1"", ""2""]",,,"berupa dua bilangan bulat positif, y dan x, yaitu jumlah burger dan jumlah anggota keluarga.","two positive integers, y and x, i.e. the number of burgers and family members.",berupa jumlah burger yang diterima tiap anggota keluarga.,the number of burgers received by each family member.,text+table,"[{""case_no"": 1, ""input"": ""5 3"", ""output"": ""1""}, {""case_no"": 2, ""input"": ""6 3"", ""output"": ""2""}]",,,FALSE,10422158,10422158
Q007,Sisa Pembagian Kue (mod),Sisa Pembagian Kue (mod),"Keluarga Ma memiliki tradisi membagi rata cookies mereka, dan menambahkan sisa cookies untuk anak bungsu. Tulislah sebuah algoritma untuk menghitung berapa sisa cookies setelah dibagi rata di antara anggota keluarga.
  Masukan berupa dua bilangan bulat positif, y dan x, yaitu jumlah cookies dan jumlah anggota keluarga.
  Keluaran berupa jumlah sisa cookies yang akan diberikan ke anak bungsu.","The Ma family has a tradition to share equally their cookies, to add the leftover cookies for the youngest child. Write an algorithm to compute how many leftover
  cookies after sharing them among the family members.
  Input two positive integers, y and x; the number of cookies and family members respectively.
  Output the number of leftover cookies will be given to the youngest child.
  
  Examples:
  Input: 10 5
  Result: 0
  Input: 11 5
  Result: 1",035,,,W02,81,7,TRUE,needs_review,PS,LMS,LMS-PS-10422157,035.UAI mod kue (en),Easy,"Keluarga Ma memiliki tradisi membagi rata cookies mereka, dan menambahkan sisa cookies untuk anak bungsu.","The Ma family has a tradition to share equally their cookies, to add the leftover cookies for the youngest child.","[{""type"": ""text"", ""content"": ""Keluarga Ma memiliki tradisi membagi rata cookies mereka, dan menambahkan sisa cookies untuk anak bungsu. Tulislah sebuah algoritma untuk menghitung berapa sisa cookies setelah dibagi rata di antara anggota keluarga.\nMasukan berupa dua bilangan bulat positif, y dan x, yaitu jumlah cookies dan jumlah anggota keluarga.\nKeluaran berupa jumlah sisa cookies yang akan diberikan ke anak bungsu.""}]","[{""type"": ""text"", ""content"": ""The Ma family has a tradition to share equally their cookies, to add the leftover cookies for the youngest child. Write an algorithm to compute how many leftover\ncookies after sharing them among the family members.\nInput two positive integers, y and x; the number of cookies and family members respectively.\nOutput the number of leftover cookies will be given to the youngest child.\n\nExamples:\nInput: 10 5\nResult: 0\nInput: 11 5\nResult: 1""}]","[""10 5"", ""11 5""]","[""0"", ""1""]",,,"berupa dua bilangan bulat positif, y dan x, yaitu jumlah cookies dan jumlah anggota keluarga.","two positive integers, y and x; the number of cookies and family members respectively.",berupa jumlah sisa cookies yang akan diberikan ke anak bungsu.,the number of leftover cookies will be given to the youngest child.,text+table,"[{""case_no"": 1, ""input"": ""10 5"", ""output"": ""0""}, {""case_no"": 2, ""input"": ""11 5"", ""output"": ""1""}]",,,FALSE,10422157,10422157
Q008,Persamaan y = (x² + 1/x)²,Persamaan y = (x² + 1/x)²,"Tulislah sebuah algoritma untuk menghitung y = (x² + 1/x)².
  Masukan berupa satu bilangan riil, nilai x.
  Keluaran berupa hasil perhitungan y.","Write an algorithm to compute y = (x² + 1/x)².
  Input a real number, the x value.
  Output the computed y.
  
  Examples:
  Input: 5.0
  Result: 635.0400000
  Input: 1.2
  Result: 5.1680444",013,,,W02,82,8,TRUE,needs_review,PS,LMS,LMS-PS-10413322,013.UAI persamaan y = (x^2 + 1/x)^2 (en),Challenger,Tulislah sebuah algoritma untuk menghitung y = (x² + 1/x)².,Write an algorithm to compute y = (x² + 1/x)².,"[{""type"": ""text"", ""content"": ""Tulislah sebuah algoritma untuk menghitung y = (x² + 1/x)².\nMasukan berupa satu bilangan riil, nilai x.\nKeluaran berupa hasil perhitungan y.""}]","[{""type"": ""text"", ""content"": ""Write an algorithm to compute y = (x² + 1/x)².\nInput a real number, the x value.\nOutput the computed y.\n\nExamples:\nInput: 5.0\nResult: 635.0400000\nInput: 1.2\nResult: 5.1680444""}]","[""5.0"", ""1.2""]","[""635.0400000"", ""5.1680444""]",,,"berupa satu bilangan riil, nilai x.","a real number, the x value.",berupa hasil perhitungan y.,the computed y.,text+table,"[{""case_no"": 1, ""input"": ""5.0"", ""output"": ""635.0400000""}, {""case_no"": 2, ""input"": ""1.2"", ""output"": ""5.1680444""}]",,,FALSE,10413322,10413322
Q009,Fungsi f(x) = (x³ + 3x)/(x⁴ - 3x² + 4),Fungsi f(x) = (x³ + 3x)/(x⁴ - 3x² + 4),"Tulislah sebuah algoritma untuk menghitung fungsi f(x) = (x³ + 3x) / (x⁴ - 3x² + 4).
  Masukan berupa satu bilangan riil untuk x.
  Keluaran berupa nilai f(x).","Write an algorithm to compute this function f(x) = (x³ + 3x) / (x⁴ - 3x² + 4).
  Input a real number for x.
  Output the value of f(x).
  
  Examples:
  Input: 1.6
  Result: 3.0957684
  Input: -1.4
  Result: -3.5399674",019,,,W02,83,9,TRUE,needs_review,PS,LMS,LMS-PS-10413313,019.UAI persamaan f(x) = (x^3 + 3x)/(x^4-3x^2 + 4) (en),Challenger,Tulislah sebuah algoritma untuk menghitung fungsi f(x) = (x³ + 3x) / (x⁴ - 3x² + 4).,Write an algorithm to compute this function f(x) = (x³ + 3x) / (x⁴ - 3x² + 4).,"[{""type"": ""text"", ""content"": ""Tulislah sebuah algoritma untuk menghitung fungsi f(x) = (x³ + 3x) / (x⁴ - 3x² + 4).\nMasukan berupa satu bilangan riil untuk x.\nKeluaran berupa nilai f(x).""}]","[{""type"": ""text"", ""content"": ""Write an algorithm to compute this function f(x) = (x³ + 3x) / (x⁴ - 3x² + 4).\nInput a real number for x.\nOutput the value of f(x).\n\nExamples:\nInput: 1.6\nResult: 3.0957684\nInput: -1.4\nResult: -3.5399674""}]","[""1.6"", ""-1.4""]","[""3.0957684"", ""-3.5399674""]",,,berupa satu bilangan riil untuk x.,a real number for x.,berupa nilai f(x).,the value of f(x).,text+table,"[{""case_no"": 1, ""input"": ""1.6"", ""output"": ""3.0957684""}, {""case_no"": 2, ""input"": ""-1.4"", ""output"": ""-3.5399674""}]",,,TRUE,10413313,10413313
Q010,Membaca dan Mencetak Karakter,Membaca dan Mencetak Karakter,"Tulislah sebuah algoritma untuk mencetak karakter yang sama seperti yang dibaca dari masukan.
  Masukan berupa satu karakter.
  Keluaran berupa karakter yang sama.","Write an algorithm to print the same character read from the input.
  Input a character.
  Output the same character.
  
  Examples:
  Input: c
  Result: c
  Input: a
  Result: a",028,,,W02,84,10,TRUE,needs_review,PS,LMS,LMS-PS-10416812,028.UAI cetak karakter (en),Challenger,Tulislah sebuah algoritma untuk mencetak karakter yang sama seperti yang dibaca dari masukan.,Write an algorithm to print the same character read from the input.,"[{""type"": ""text"", ""content"": ""Tulislah sebuah algoritma untuk mencetak karakter yang sama seperti yang dibaca dari masukan.\nMasukan berupa satu karakter.\nKeluaran berupa karakter yang sama.""}]","[{""type"": ""text"", ""content"": ""Write an algorithm to print the same character read from the input.\nInput a character.\nOutput the same character.\n\nExamples:\nInput: c\nResult: c\nInput: a\nResult: a""}]","[""c"", ""a""]","[""c"", ""a""]",,,berupa satu karakter.,a character.,berupa karakter yang sama.,the same character.,text+table,"[{""case_no"": 1, ""input"": ""c"", ""output"": ""c""}, {""case_no"": 2, ""input"": ""a"", ""output"": ""a""}]",,,TRUE,10416812,10416812
